course,courseofferedby,term,dayperiod,semesteroffered,maininstructor,classroom
英語学演習Ａ２,教育学部,2023年度,他,後期,松山 哲也,記載なし
英語科教育演習Ｂ２,教育学部,2023年度,他,後期,尾上 利美,記載なし
英語学演習Ｂ２,教育学部,2023年度,他,後期,西山 淳子,記載なし
家庭科教育ゼミナールＡ２,教育学部,2023年度,他,後期,山本 奈美,記載なし
家庭科教育ゼミナールＢ２,教育学部,2023年度,他,後期,村田 順子,記載なし
課題演習（初等教育２）,教育学部,2023年度,他,後期,丁子 かおる,記載なし
心理学演習（初等）Ｂ２,教育学部,2023年度,他,後期,米澤 好史,記載なし
心理学演習（初等）Ｃ２,教育学部,2023年度,他,後期,則定 百合子,記載なし
心理学演習（中等）Ｂ２,教育学部,2023年度,他,後期,米澤 好史,記載なし
心理学演習（中等）Ｃ２,教育学部,2023年度,他,後期,則定 百合子,記載なし
日本史演習Ｂ,教育学部,2023年度,他,後期,海津 一朗,記載なし
数学教育ゼミナールＡ２,教育学部,2023年度,他,後期,川上 智博,記載なし
数学教育ゼミナールＡ４,教育学部,2023年度,他,後期,川上 智博,記載なし
数学教育ゼミナールＢ２,教育学部,2023年度,他,後期,北山 秀隆,記載なし
数学教育ゼミナールＢ４,教育学部,2023年度,他,後期,北山 秀隆,記載なし
数学教育ゼミナールＣ２,教育学部,2023年度,他,後期,田川 裕之,記載なし
数学教育ゼミナールＣ４,教育学部,2023年度,他,後期,田川 裕之,記載なし
数学教育ゼミナールＤ２,教育学部,2023年度,他,後期,西山 尚志,記載なし
数学教育ゼミナールＤ４,教育学部,2023年度,他,後期,西山 尚志,記載なし
図画工作・美術科教材研究Ｂ,教育学部,2023年度,他,後期,湯川 雅紀,記載なし
体育演習Ｂ２,教育学部,2023年度,他,後期,矢野 勝,記載なし
体育演習Ｃ２,教育学部,2023年度,他,後期,村瀬 浩二,記載なし
保健体育ゼミナールＢ,教育学部,2023年度,他,後期,村瀬 浩二,記載なし
保健体育ゼミナールＤ,教育学部,2023年度,他,後期,村瀬 浩二,記載なし
銀行論Ⅰ,経済学部,2023年度,月1,前期,片桐 謙,E103教室(西2号館)
経済思想史A,経済学部,2023年度,月1,第1クォーター,阿部 秀二郎,E101教室(西2号館)
経済思想史B,経済学部,2023年度,月1,第2クォーター,阿部 秀二郎,E101教室(西2号館)
ミクロ経済学Ⅱ,経済学部,2023年度,月2,前期,田村 正興,E301教室(西2号館)
専門演習,経済学部,2023年度,月2,通年,阿部 秀二郎,E105教室(西2号館)
専門演習,経済学部,2023年度,月2,通年,片桐 謙,E203教室(西2号館)
専門演習,経済学部,2023年度,月2,通年,Nabil Maghrebi,E202教室(西2号館)
財政政策総論Ⅰ,経済学部,2023年度,月2,第2クォーター,齊藤 仁,E101教室(西2号館)
国際金融史Ⅰ,経済学部,2023年度,月3,前期,今田 秀作,E301教室(西2号館)
マーケティング論,経済学部,2023年度,月3,前期,柳 到亨,E101教室(西2号館)
卒業研究,経済学部,2023年度,月3,通年,阿部 秀二郎,第一講義室(西1号館)
卒業研究,経済学部,2023年度,月3,通年,金澤 孝彰,E202教室(西2号館)
専門演習,経済学部,2023年度,月3,通年,藤原 靖也,E208教室(西2号館)
International Financial MarketsA,経済学部,2023年度,月3,第1クォーター,Nabil Maghrebi,E102教室(西2号館)
情報システムデザインⅠ,経済学部,2023年度,月3,第1クォーター,芦田 昌也,E105教室(西2号館)
会社法各論〔機関等〕A,経済学部,2023年度,月3,第1クォーター,清弘 正子,E302教室(西2号館)
International Financial MarketsB,経済学部,2023年度,月3,第2クォーター,Nabil Maghrebi,E102教室(西2号館)
会社法各論〔機関等〕B,経済学部,2023年度,月3,第2クォーター,清弘 正子,E302教室(西2号館)
Japanese Finance and Economy,経済学部,2023年度,月4,前期,Nabil Maghrebi,E102教室(西2号館)
国家基盤づくりに係る土地・家屋の調査,経済学部,2023年度,月4,前期,土地家屋調査士会,E201教室(西2号館)
専門演習,経済学部,2023年度,月4,通年,金澤 孝彰,E202教室(西2号館)
交通システム論A,経済学部,2023年度,月4,第1クォーター,辻本 勝久,E302教室(西2号館)
経営数学A,経済学部,2023年度,月4,第1クォーター,芦田 昌也,E301教室(西2号館)
法律学概論A,経済学部,2023年度,月4,第1クォーター,金川 めぐみ,E101教室(西2号館)
交通システム論B,経済学部,2023年度,月4,第2クォーター,辻本 勝久,E302教室(西2号館)
法律学概論B,経済学部,2023年度,月4,第2クォーター,金川 めぐみ,E101教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,月5,第1クォーター,清弘 正子,E102教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,月5,第1クォーター,齊藤 仁,E103教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,月5,第1クォーター,藤原 靖也,E301教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,月5,第1クォーター,山田 恵一,E302教室(西2号館)
外国書講読〔中〕A,経済学部,2023年度,月5,第1クォーター,金澤 孝彰,E105教室(西2号館)
外国書講読〔中〕B,経済学部,2023年度,月5,第2クォーター,金澤 孝彰,E105教室(西2号館)
卒業研究,経済学部,2023年度,火1,通年,森口 佳樹,E207教室(西2号館)
専門演習,経済学部,2023年度,火1,通年,辻本 勝久,E104教室(西2号館)
開発経済学A,経済学部,2023年度,火1,第1クォーター,金澤 孝彰,E103教室(西2号館)
食料経済A（需給動向）,経済学部,2023年度,火1,第1クォーター,岸上 光克,E101教室(西2号館)
工業簿記Ⅲ,経済学部,2023年度,火1,第1クォーター,岡橋 充明,E105教室(西2号館)
開発経済学B,経済学部,2023年度,火1,第2クォーター,金澤 孝彰,E103教室(西2号館)
食料経済B（流通実態）,経済学部,2023年度,火1,第2クォーター,岸上 光克,E101教室(西2号館)
工業簿記Ⅰ,経済学部,2023年度,火1,第2クォーター,岡橋 充明,E302教室(西2号館)
財政学,経済学部,2023年度,火2,前期,齊藤 仁,E301教室(西2号館)
卒業研究,経済学部,2023年度,火2,通年,岩田 英朗,E208教室(西2号館)
卒業研究,経済学部,2023年度,火2,通年,岡橋 充明,E209教室(西2号館)
卒業研究,経済学部,2023年度,火2,通年,岸上 光克,E204教室(西2号館)
卒業研究,経済学部,2023年度,火2,通年,辻本 勝久,E205教室(西2号館)
卒業研究,経済学部,2023年度,火2,通年,Nabil Maghrebi,E203教室(西2号館)
専門演習,経済学部,2023年度,火2,通年,芦田 昌也,E105教室(西2号館)
専門演習,経済学部,2023年度,火2,通年,岡部 美砂,E202教室(西2号館)
専門演習,経済学部,2023年度,火2,通年,藤田 和史,第二講義室(西1号館)
専門演習,経済学部,2023年度,火2,通年,柳 到亨,第一講義室(西1号館)
日本的経営論A,経済学部,2023年度,火2,第1クォーター,高見 直樹,E101教室(西2号館)
管理会計論A,経済学部,2023年度,火2,第1クォーター,藤原 靖也,E302教室(西2号館)
日本的経営論B,経済学部,2023年度,火2,第2クォーター,高見 直樹,E101教室(西2号館)
管理会計論B,経済学部,2023年度,火2,第2クォーター,藤原 靖也,E302教室(西2号館)
社会経済学入門,経済学部,2023年度,火3,前期,大澤 健,記載なし
卒業研究,経済学部,2023年度,火3,通年,齊藤 仁,第二講義室(西1号館)
卒業研究,経済学部,2023年度,火3,通年,柳 到亨,第一講義室(西1号館)
専門演習,経済学部,2023年度,火3,通年,岸上 光克,E204教室(西2号館)
専門演習,経済学部,2023年度,火3,通年,高見 直樹,E202教室(西2号館)
専門演習,経済学部,2023年度,火3,通年,藤木 剛康,E203教室(西2号館)
国際貿易論A,経済学部,2023年度,火3,第1クォーター,岡部 美砂,E101教室(西2号館)
コーポレートファイナンスA（資金調達）,経済学部,2023年度,火3,第1クォーター,竹内 哲治,E301教室(西2号館)
エネルギー経済学B,経済学部,2023年度,火3,第1クォーター,藤井 淳,E302教室(西2号館)
人権各論B,経済学部,2023年度,火3,第1クォーター,森口 佳樹,E103教室(西2号館)
国際貿易論B,経済学部,2023年度,火3,第2クォーター,岡部 美砂,E101教室(西2号館)
コーポレートファイナンスB（配当・M＆A）,経済学部,2023年度,火3,第2クォーター,竹内 哲治,E301教室(西2号館)
現代商社論,経済学部,2023年度,火3,第2クォーター,藤井 淳,E302教室(西2号館)
情報マネジメントⅠ,経済学部,2023年度,火3,第2クォーター,岩田 英朗,E201教室(西2号館)
人権各論C,経済学部,2023年度,火3,第2クォーター,森口 佳樹,E103教室(西2号館)
商業簿記Ⅲ,経済学部,2023年度,火4,前期,土田 俊也,E101教室(西2号館)
プログラミング,経済学部,2023年度,火4,前期,岩田 英朗,E301教室(西2号館)
卒業研究,経済学部,2023年度,火4,通年,高見 直樹,E105教室(西2号館)
卒業研究,経済学部,2023年度,火4,通年,藤原 靖也,E208教室(西2号館)
専門演習,経済学部,2023年度,火4,通年,齊藤 仁,E201教室(西2号館)
専門演習,経済学部,2023年度,火4,通年,竹内 哲治,E203教室(西2号館)
専門演習,経済学部,2023年度,火4,通年,牧野 真也,E205教室(西2号館)
民法〔債権総論〕A,経済学部,2023年度,火4,第1クォーター,和田 美智代,E302教室(西2号館)
民法〔債権総論〕B,経済学部,2023年度,火4,第2クォーター,和田 美智代,E302教室(西2号館)
卒業研究,経済学部,2023年度,火5,通年,牧野 真也,E205教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,火5,第1クォーター,高見 直樹,E102教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,火5,第1クォーター,辻本 勝久,E103教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,火5,第1クォーター,柳 到亨,E104教室(西2号館)
民法〔物権〕A,経済学部,2023年度,火5,第1クォーター,和田 美智代,E302教室(西2号館)
民法〔物権〕B,経済学部,2023年度,火5,第2クォーター,和田 美智代,E302教室(西2号館)
卒業研究,経済学部,2023年度,水1,通年,齊藤 久美子,E104教室(西2号館)
専門演習,経済学部,2023年度,水1,通年,足立 基浩,第一講義室(西1号館)
専門演習,経済学部,2023年度,水1,通年,片山 直子,E203教室(西2号館)
会社法総論,経済学部,2023年度,水1,第1クォーター,清弘 正子,E101教室(西2号館)
会社法各論〔株式等〕A,経済学部,2023年度,水1,第2クォーター,清弘 正子,E302教室(西2号館)
Project Management,経済学部,2023年度,水2,前期,クパニ ルンビディ,E301教室(西2号館)
卒業研究,経済学部,2023年度,水2,通年,足立 基浩,第一講義室(西1号館)
卒業研究,経済学部,2023年度,水2,通年,岡部 美砂,E212教室(西2号館)
卒業研究,経済学部,2023年度,水2,通年,團野 正浩,E204教室(西2号館)
卒業研究,経済学部,2023年度,水2,通年,長廣 利崇,E201教室(西2号館)
専門演習,経済学部,2023年度,水2,通年,岩田 英朗,E208教室(西2号館)
専門演習,経済学部,2023年度,水2,通年,清弘 正子,E206教室(西2号館)
地域環境論A,経済学部,2023年度,水2,第1クォーター,藤田 和史,E101教室(西2号館)
法人税法A,経済学部,2023年度,水2,第1クォーター,片山 直子,E302教室(西2号館)
会計学原理Ⅰ,経済学部,2023年度,水2,第2クォーター,齊藤 久美子,E103教室(西2号館)
法人税法B,経済学部,2023年度,水2,第2クォーター,片山 直子,E302教室(西2号館)
卒業研究,経済学部,2023年度,水3,通年,金川 めぐみ,E210教室(西2号館)
公益事業論A,経済学部,2023年度,水3,第1クォーター,上野 美咲,E101教室(西2号館)
イノベーションマネジメントA,経済学部,2023年度,水3,第1クォーター,高岡 伸行,E201教室(西2号館)
データベース,経済学部,2023年度,水3,第1クォーター,岩田 英朗,E301教室(西2号館)
租税法概論A,経済学部,2023年度,水3,第1クォーター,團野 正浩,E302教室(西2号館)
消費税法A,経済学部,2023年度,水3,第1クォーター,片山 直子,E103教室(西2号館)
租税法実務,経済学部,2023年度,水3水4,第2クォーター,近畿税理士会,E201教室(西2号館)
イノベーションマネジメントB,経済学部,2023年度,水3,第2クォーター,高岡 伸行,E302教室(西2号館)
租税法概論B,経済学部,2023年度,水3,第2クォーター,片山 直子,E101教室(西2号館)
経済数学,経済学部,2023年度,水4,前期,田村 正興,E101教室(西2号館)
政策科学（地域）,経済学部,2023年度,水4,前期,藤田 和史,記載なし
卒業研究,経済学部,2023年度,水4,通年,清弘 正子,第一講義室(西1号館)
卒業研究,経済学部,2023年度,水4,通年,竹内 哲治,E202教室(西2号館)
専門演習,経済学部,2023年度,水4,通年,金川 めぐみ,E210教室(西2号館)
経営管理論A,経済学部,2023年度,水4,第1クォーター,高岡 伸行,E301教室(西2号館)
会計学A,経済学部,2023年度,水4,第1クォーター,齊藤 久美子,E302教室(西2号館)
ECユニット演習ⅠA,経済学部,2023年度,水4,第1クォーター,岡田 真理子,記載なし
経営管理論B,経済学部,2023年度,水4,第2クォーター,高岡 伸行,E301教室(西2号館)
会計学B,経済学部,2023年度,水4,第2クォーター,齊藤 久美子,E302教室(西2号館)
ECユニット演習ⅠB,経済学部,2023年度,水4,第2クォーター,岡田 真理子,記載なし
基礎演習Ⅰ,経済学部,2023年度,水5,第1クォーター,足立 基浩,E102教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,火5,第1クォーター,上野 美咲,E201教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,水5,第1クォーター,片山 直子,E104教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,水5,第1クォーター,金川 めぐみ,E103教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,水5,第1クォーター,長廣 利崇,E105教室(西2号館)
経済学入門A,経済学部,2023年度,水6,第1クォーター,岡部 美砂,記載なし
経済学入門B,経済学部,2023年度,水6,第2クォーター,岡部 美砂,記載なし
卒業研究,経済学部,2023年度,木1,通年,片山 直子,担当教員研究室
社会保険法A,経済学部,2023年度,木1,第1クォーター,呉 紅敏,E301教室(西2号館)
公益事業論B,経済学部,2023年度,木1,第2クォーター,上野 美咲,E301教室(西2号館)
経営史,経済学部,2023年度,木1,第2クォーター,長廣 利崇,E101教室(西2号館)
社会保険法B,経済学部,2023年度,木1,第2クォーター,呉 紅敏,E201教室(西2号館)
労働法A,経済学部,2023年度,木1,第2クォーター,金川 めぐみ,E302教室(西2号館)
卒業研究,経済学部,2023年度,木2,通年,岡田 真理子,E209教室(西2号館)
卒業研究,経済学部,2023年度,木2,通年,藤田 和史,第二講義室(西1号館)
専門演習,経済学部,2023年度,木2,通年,齊藤 久美子,E211教室(西2号館)
専門演習,経済学部,2023年度,木2,通年,團野 正浩,E204教室(西2号館)
専門演習,経済学部,2023年度,木2,通年,長廣 利崇,E102教室(西2号館)
中心市街地活性化論A,経済学部,2023年度,木2,第1クォーター,足立 基浩,E101教室(西2号館)
企業倫理論A,経済学部,2023年度,木2,第1クォーター,高見 直樹,E301教室(西2号館)
人的資源管理論Ｂ,経済学部,2023年度,木2,第1クォーター,厨子 直之,E201教室(西2号館)
中心市街地活性化論B,経済学部,2023年度,木2,第2クォーター,足立 基浩,E101教室(西2号館)
企業倫理論B,経済学部,2023年度,木2,第2クォーター,高見 直樹,E301教室(西2号館)
監査論Ⅰ,経済学部,2023年度,木2,第2クォーター,藤原 靖也,E103教室(西2号館)
マクロ経済学Ⅰ,経済学部,2023年度,木3,前期,佐藤 健治,E302教室(西2号館)
労働者福祉事業とセーフティネット,経済学部,2023年度,木3,前期,県労働者福祉協議会,E301教室(西2号館)
自然エネルギー戦略,経済学部,2023年度,木3木4,第1クォーター,和田 武,E201教室(西2号館)
グローバル・マネジメント,経済学部,2023年度,木4,前期,林 侑輝,E101教室(西2号館)
アグリビジネス論B,経済学部,2023年度,木4,第2クォーター,岸上 光克,E302教室(西2号館)
アグリビジネス論A,経済学部,2023年度,木5,第1クォーター,藤田 和史,E302教室(西2号館)
コミュニティ交通論,経済学部,2023年度,金1,前期,西川 一弘,E301教室(西2号館)
卒業研究,経済学部,2023年度,金1,通年,山田 恵一,第一講義室(西1号館)
社会保障論(社会保険),経済学部,2023年度,金1,第1クォーター,岡田 真理子,E101教室(西2号館)
現代中国経済論A（総論）,経済学部,2023年度,金1,第1クォーター,金澤 孝彰,E104教室(西2号館)
原価計算論Ⅲ,経済学部,2023年度,金1,第1クォーター,岡橋 充明,E103教室(西2号館)
社会保障論(社会福祉),経済学部,2023年度,金1,第2クォーター,岡田 真理子,E101教室(西2号館)
現代中国経済論B（各論）,経済学部,2023年度,金1,第2クォーター,金澤 孝彰,E104教室(西2号館)
原価計算論Ⅰ,経済学部,2023年度,金1,第2クォーター,岡橋 充明,E302教室(西2号館)
卒業研究,経済学部,2023年度,金2,通年,芦田 昌也,E105教室(西2号館)
卒業研究,経済学部,2023年度,金2,通年,藤木 剛康,E204教室(西2号館)
専門演習,経済学部,2023年度,金2,通年,岡田 真理子,E209教室(西2号館)
専門演習,経済学部,2023年度,金2,通年,岡橋 充明,E203教室(西2号館)
ビジネス・キャリア演習Ⅰ,経済学部,2023年度,金2,第1クォーター,本庄 麻美子,E201教室(西2号館)
経済原論A,経済学部,2023年度,金2,第1クォーター,大澤 健,E101教室(西2号館)
経済地誌A,経済学部,2023年度,金2,第1クォーター,藤田 和史,E302教室(西2号館)
組織行動論A,経済学部,2023年度,金2,第1クォーター,厨子 直之,E301教室(西2号館)
経済原論B,経済学部,2023年度,金2,第2クォーター,大澤 健,E101教室(西2号館)
経済地誌B,経済学部,2023年度,金2,第2クォーター,藤田 和史,E302教室(西2号館)
組織行動論B,経済学部,2023年度,金2,第2クォーター,厨子 直之,E301教室(西2号館)
専門演習,経済学部,2023年度,金3,通年,大澤 健,E211教室(西2号館)
専門演習,経済学部,2023年度,金3,通年,厨子 直之,E102教室(西2号館)
ビジネス・キャリア演習Ⅰ,経済学部,2023年度,金3,第1クォーター,本庄 麻美子,E201教室(西2号館)
現代のアメリカ経済政策A,経済学部,2023年度,金3,第1クォーター,藤木 剛康,E101教室(西2号館)
現代のアメリカ経済政策Ｂ,経済学部,2023年度,金3,第2クォーター,藤木 剛康,E101教室(西2号館)
エネルギー経済学C,経済学部,2023年度,金3,第2クォーター,藤井 淳,E302教室(西2号館)
政策科学（公共）,経済学部,2023年度,金4,前期,岡田 真理子,記載なし
卒業研究,経済学部,2023年度,金4,通年,大澤 健,E103教室(西2号館)
卒業研究,経済学部,2023年度,金4,通年,厨子 直之,E102教室(西2号館)
専門演習,経済学部,2023年度,金4,通年,山田 恵一,第一講義室(西1号館)
キャリア・デザイン入門Ⅰ,経済学部,2023年度,金4,第2クォーター,本庄 麻美子,E101教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,金5,第1クォーター,阿部 秀二郎,E102教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,金5,第1クォーター,岡田 真理子,E103教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,金5,第1クォーター,厨子 直之,E104教室(西2号館)
基礎演習Ⅰ,経済学部,2023年度,金5,第1クォーター,藤木 剛康,E105教室(西2号館)
財務会計論A,経済学部,2023年度,金5,第1クォーター,山田 恵一,E301教室(西2号館)
ビジネス情報処理A,経済学部,2023年度,金5,第1クォーター,牧野 真也,記載なし
財務会計論B,経済学部,2023年度,金5,第2クォーター,山田 恵一,E301教室(西2号館)
ビジネス情報処理B,経済学部,2023年度,金5,第2クォーター,牧野 真也,記載なし
ビジネスモデルデザイン,経済学部,2023年度,金6,前期,牧野 真也,記載なし
ラーニング・スキル演習Ⅰ,経済学部,2023年度,他,前期,染屋 光宏,西3号館105(コミュニケーションI)
中小企業論（ファミリービジネス論）,経済学部,2023年度,他,前期,曽根 秀一,E301教室(西2号館)
コーポレート・ガバナンス論,経済学部,2023年度,他,前期,吉村 典久,E101教室(西2号館)
マーケティング戦略論,経済学部,2023年度,他,前期,秦 洋二,E101教室(西2号館)
消費者心理学,経済学部,2023年度,他,前期,羽藤 雅彦,E101教室(西2号館)
商業簿記Ⅰ,経済学部,2023年度,他,前期,三光寺 由実子,記載なし
経営情報システム論,経済学部,2023年度,他,前期,野間口 隆郎,E103教室(西2号館)
金融論入門,経済学部,2023年度,他,前期,簗田 優,E102教室(西2号館)
応用金融論,経済学部,2023年度,他,前期,簗田 優,E102教室(西2号館)
地域調査研究(留学),経済学部,2023年度,他,前期,藤田 和史,記載なし
インターンシップA,経済学部,2023年度,他,通年,長廣 利崇,記載なし
インターンシップB,経済学部,2023年度,他,通年,長廣 利崇,記載なし
インターンシップC,経済学部,2023年度,他,通年,長廣 利崇,記載なし
インターンシップD,経済学部,2023年度,他,通年,長廣 利崇,記載なし
卒業研究,経済学部,2023年度,他,通年,厨子 直之,E102教室(西2号館)
教育実習事前・事後指導,経済学部,2023年度,他,通年,上野 和久,記載なし
教育実習,経済学部,2023年度,他,通年,上野 和久,記載なし
銀行論Ⅱ,経済学部,2023年度,月1,後期,片桐 謙,E103教室(西2号館)
経済学史ⅠA,経済学部,2023年度,月1,第3クォーター,阿部 秀二郎,E101教室(西2号館)
経済学史ⅠB,経済学部,2023年度,月1,第4クォーター,阿部 秀二郎,E101教室(西2号館)
商品企画論,経済学部,2023年度,月2,後期,柳 到亨,E101教室(西2号館)
財政政策総論Ⅱ,経済学部,2023年度,月2,第3クォーター,齊藤 仁,E302教室(西2号館)
Foundations of Finance,経済学部,2023年度,月3,後期,Nabil Maghrebi,E102教室(西2号館)
国際物流論A,経済学部,2023年度,月3,第3クォーター,辻本 勝久,E101教室(西2号館)
流通システム論A,経済学部,2023年度,月3,第3クォーター,柳 到亨,E301教室(西2号館)
情報システムデザインⅡ,経済学部,2023年度,月3,第3クォーター,芦田 昌也,E105教室(西2号館)
国際物流論B,経済学部,2023年度,月3,第4クォーター,辻本 勝久,E302教室(西2号館)
流通システム論B,経済学部,2023年度,月3,第4クォーター,柳 到亨,E301教室(西2号館)
社会思想史,経済学部,2023年度,月4,後期,間庭 大祐,E201教室(西2号館)
交通まちづくり調査研究,経済学部,2023年度,月4,後期,辻本 勝久,E102教室(西2号館)
経営数学B,経済学部,2023年度,月4,第3クォーター,芦田 昌也,E301教室(西2号館)
商法総則,経済学部,2023年度,月4,第3クォーター,清弘 正子,E101教室(西2号館)
キャリア・デザイン入門Ⅱ,経済学部,2023年度,月4,第4クォーター,本庄 麻美子,E302教室(西2号館)
商行為法,経済学部,2023年度,月4,第4クォーター,清弘 正子,E301教室(西2号館)
発展演習,経済学部,2023年度,月5,第4クォーター,阿部 秀二郎,記載なし
発展演習,経済学部,2023年度,月5,第4クォーター,清弘 正子,記載なし
発展演習,経済学部,2023年度,月5,第4クォーター,齊藤 仁,記載なし
発展演習,経済学部,2023年度,月5,第4クォーター,藤原 靖也,記載なし
発展演習,経済学部,2023年度,月5,第4クォーター,Nabil Maghrebi,記載なし
ミクロ経済学Ⅰ,経済学部,2023年度,火1,後期,田村 正興,E101教室(西2号館)
農業政策A（農業政策の展開）,経済学部,2023年度,火1,第3クォーター,岸上 光克,E302教室(西2号館)
工業簿記Ⅳ,経済学部,2023年度,火1,第3クォーター,岡橋 充明,E102教室(西2号館)
農業政策B（品目別農業政策）,経済学部,2023年度,火1,第4クォーター,岸上 光克,E302教室(西2号館)
工業簿記Ⅱ,経済学部,2023年度,火1,第4クォーター,岡橋 充明,E301教室(西2号館)
ゲーム理論,経済学部,2023年度,火2,後期,田村 正興,E301教室(西2号館)
経営学史,経済学部,2023年度,火2,後期,高見 直樹,E201教室(西2号館)
地方財政A,経済学部,2023年度,火2,第3クォーター,齊藤 仁,E302教室(西2号館)
管理会計論C,経済学部,2023年度,火2,第3クォーター,藤原 靖也,E101教室(西2号館)
地方財政B,経済学部,2023年度,火2,第4クォーター,齊藤 仁,E302教室(西2号館)
管理会計論D,経済学部,2023年度,火2,第4クォーター,藤原 靖也,E101教室(西2号館)
国際金融論A,経済学部,2023年度,火3,第3クォーター,岡部 美砂,E301教室(西2号館)
現代グローバル経済論A,経済学部,2023年度,火3,第3クォーター,大澤 健,E101教室(西2号館)
計量経済学入門A,経済学部,2023年度,火3,第3クォーター,竹内 哲治,E103教室(西2号館)
情報マネジメントⅡ,経済学部,2023年度,火3,第3クォーター,岩田 英朗,E104教室(西2号館)
人権総論,経済学部,2023年度,火3,第3クォーター,森口 佳樹,E302教室(西2号館)
国際金融論B,経済学部,2023年度,火3,第4クォーター,岡部 美砂,E301教室(西2号館)
現代グローバル経済論B,経済学部,2023年度,火3,第4クォーター,大澤 健,E101教室(西2号館)
計量経済学入門B,経済学部,2023年度,火3,第4クォーター,竹内 哲治,E103教室(西2号館)
人権各論A,経済学部,2023年度,火3,第4クォーター,森口 佳樹,E302教室(西2号館)
ワールドエコノミーA,経済学部,2023年度,火4,第3クォーター,金澤 孝彰,E101教室(西2号館)
エネルギービジネスA,経済学部,2023年度,火4,第3クォーター,藤井 淳,E302教室(西2号館)
ワールドエコノミーB,経済学部,2023年度,火4,第4クォーター,金澤 孝彰,E101教室(西2号館)
エネルギービジネスB,経済学部,2023年度,火4,第4クォーター,藤井 淳,E302教室(西2号館)
発展演習,経済学部,2023年度,火5,第4クォーター,竹内 哲治,記載なし
発展演習,経済学部,2023年度,火5,第4クォーター,藤井 淳,記載なし
情報処理技術問題演習,経済学部,2023年度,水1,後期,岩田 英朗,E103教室(西2号館)
民法〔総則〕A,経済学部,2023年度,水1,第3クォーター,和田 美智代,E101教室(西2号館)
民法〔総則〕B,経済学部,2023年度,水1,第4クォーター,和田 美智代,E101教室(西2号館)
商業簿記Ⅱ,経済学部,2023年度,水2,後期,三光寺 由実子,記載なし
所得税法A,経済学部,2023年度,水2,第3クォーター,片山 直子,E302教室(西2号館)
民法〔債権各論〕A,経済学部,2023年度,水2,第3クォーター,和田 美智代,E101教室(西2号館)
所得税法B,経済学部,2023年度,水2,第4クォーター,片山 直子,E302教室(西2号館)
民法〔債権各論〕B,経済学部,2023年度,水2,第4クォーター,和田 美智代,E101教室(西2号館)
International Management,経済学部,2023年度,水3,後期,クパニ ルンビディ,E103教室(西2号館)
労働行政実務,経済学部,2023年度,水3,後期,和歌山労働局,E302教室(西2号館)
現代社会実践論－キャリアと公務－,経済学部,2023年度,水3,後期,本庄 麻美子,E201教室(西2号館)
統計学入門A,経済学部,2023年度,水3,第3クォーター,竹内 哲治,E101教室(西2号館)
会計学C,経済学部,2023年度,水3,第3クォーター,齊藤 久美子,E301教室(西2号館)
ECユニット演習ⅡA,経済学部,2023年度,水3,第3クォーター,岡田 真理子,E209教室(西2号館)
統計学入門B,経済学部,2023年度,水3,第4クォーター,竹内 哲治,E101教室(西2号館)
会計学D,経済学部,2023年度,水3,第4クォーター,齊藤 久美子,E301教室(西2号館)
ECユニット演習ⅡB,経済学部,2023年度,水3,第4クォーター,岡田 真理子,E209教室(西2号館)
経済史総論A,経済学部,2023年度,水4,第3クォーター,長廣 利崇,E101教室(西2号館)
International EconomicsA,経済学部,2023年度,水4,第3クォーター,岡部 美砂,E301教室(西2号館)
ソーシャルビジネス論A,経済学部,2023年度,水4,第3クォーター,高岡 伸行,E302教室(西2号館)
会計学原理Ⅱ,経済学部,2023年度,水4,第3クォーター,齊藤 久美子,E103教室(西2号館)
地域分析実験演習A,経済学部,2023年度,水4,第3クォーター,藤田 和史,学術情報センター第1演習室(西5号館)
経済史総論B,経済学部,2023年度,水4,第4クォーター,長廣 利崇,E101教室(西2号館)
International EconomicsB,経済学部,2023年度,水4,第4クォーター,岡部 美砂,E201教室(西2号館)
ソーシャルビジネス論B,経済学部,2023年度,水4,第4クォーター,高岡 伸行,E301教室(西2号館)
消費税法B,経済学部,2023年度,水4,第4クォーター,片山 直子,E302教室(西2号館)
地域分析実験演習B,経済学部,2023年度,水4,第4クォーター,藤田 和史,学術情報センター第3演習室(西5号館)
企業データ分析,経済学部,2023年度,水5,第3クォーター,齊藤 久美子,E101教室(西2号館)
発展演習,経済学部,2023年度,水5,第4クォーター,岡田 真理子,記載なし
発展演習,経済学部,2023年度,水5,第4クォーター,金川 めぐみ,記載なし
発展演習,経済学部,2023年度,水5,第4クォーター,高岡 伸行,記載なし
